BrandID,TradeMarkIDold,ResKeyBrandName,CountryIDf,LastTrans,_altemarkennummer,NoLogoNeeded,LastChangeDate,LastChangeUser,InternalComment,BrandIDold,Active
1,1,Ares,1,1,32693,1,NULL,NULL,NULL,1,1
2,2,abc,3,1,22500,0,2013-05-06 09:04:27.983,ViolettaG,,1001,1
3,3,AccuLux,1,1,23000,0,NULL,NULL,,3,1
5,5,Ackermann,3,1,30002,0,NULL,NULL,,4,1
6,6,Aclimat,3,1,24000,0,NULL,NULL,NULL,5,1
7,7,AEG,103,1,22300,0,2010-11-23 14:22:31.630,ViolettaG,,6,1
8,8,Agfeo,1,1,30004,0,NULL,NULL,NULL,7,1
9,9,AHB TVisions,3,1,16500,1,NULL,NULL,NULL,8,1
10,10,Aiwa,39,1,11500,0,NULL,NULL,NULL,9,1
11,11,Akai,103,1,14500,0,2010-11-23 13:35:01.427,ViolettaG,,10,1
12,12,AKG,103,1,14800,0,2010-10-14 12:44:10.690,ViolettaG,,11,1
13,13,Ako,1,1,24500,0,NULL,NULL,NULL,12,1
14,14,Albert,0,1,32000,1,NULL,NULL,NULL,13,1
16,16,Alcatel,39,1,30006,0,2014-07-04 12:46:07.280,ViolettaG,,14,1
17,17,Alpine,37,1,30400,0,NULL,NULL,NULL,15,1
18,18,Amstrad,37,1,14300,1,NULL,NULL,NULL,16,1
20,20,Artemide,0,1,32720,1,NULL,NULL,NULL,17,1
21,21,Ascom,7,1,30008,0,NULL,NULL,NULL,18,1
22,22,Audioline,71,1,30011,0,2018-05-08 12:01:45.270,PatrickM,,19,1
23,23,AudioSonic,7,1,17500,0,2016-11-17 09:53:51.133,ViolettaG,,20,1
24,24,AudioTon,2,1,32683,1,NULL,NULL,NULL,21,1
25,25,Auerswald,7,1,30012,0,NULL,NULL,NULL,22,1
26,26,Axton,5,1,30700,0,NULL,NULL,NULL,23,1
27,27,BaByliss,263,1,32685,0,2010-10-21 13:37:48.620,ViolettaG,,24,1
28,28,Bang & Olufsen,0,1,13800,0,NULL,NULL,NULL,25,1
29,29,Bauknecht,103,1,20100,0,2010-11-23 13:35:52.953,ViolettaG,,26,1
30,30,Bayer,37,1,26100,1,NULL,NULL,NULL,27,1
31,31,Becker,71,1,30200,0,2011-09-01 09:49:41.867,ViolettaG,,28,1
32,32,Bellalux,0,1,32707,1,NULL,NULL,NULL,29,1
33,33,Beurer,71,1,22900,0,2010-08-24 14:45:10.230,ViolettaG,,30,1
34,34,Beyerdynamic,7,1,15000,0,2011-08-15 08:46:11.467,ViolettaG,,31,1
35,35,Binatone,5,1,30014,1,NULL,NULL,NULL,32,1
36,36,Black & Decker,103,1,24100,0,2011-03-16 16:14:29.807,PhilippaD,,33,1
37,37,Blaupunkt,39,1,11400,0,NULL,NULL,NULL,34,1
38,38,blend-a-dent,1,1,23200,1,NULL,NULL,NULL,35,1
39,39,Blomberg,7,1,24900,0,NULL,NULL,NULL,36,1
40,40,Boca,1,1,32678,0,NULL,NULL,NULL,37,1
41,41,Böhmer,0,1,32300,1,NULL,NULL,NULL,38,1
42,42,Bomann,99,1,25500,0,2010-09-06 11:38:49.483,ViolettaG,,39,1
43,43,Boneco,7,1,32673,0,NULL,NULL,NULL,40,1
44,44,Bopp,0,1,32100,1,NULL,NULL,NULL,41,1
45,45,Bosch,359,1,20200,0,2010-10-14 12:46:12.430,ViolettaG,,42,1
46,46,Bose,359,1,16800,0,2010-10-21 13:39:56.180,ViolettaG,,43,1
47,47,Braun,103,1,20800,0,2010-10-14 12:46:51.473,ViolettaG,,44,1
48,48,Brother,101,1,20400,0,2010-12-14 08:00:57.247,PhilippaD,,45,1
49,49,Bruck,0,1,32706,1,NULL,NULL,NULL,46,1
50,50,Burg,3,1,32675,0,NULL,NULL,NULL,47,1
51,51,Candy,39,1,22000,0,NULL,NULL,NULL,48,1
52,52,Canon,359,1,10900,0,NULL,NULL,NULL,49,1
53,53,Canton,71,1,14400,0,NULL,NULL,NULL,50,1
54,54,Casablanca,0,1,32713,1,NULL,NULL,NULL,51,1
55,55,Casio,375,1,13700,0,2012-01-27 12:47:08.160,PhilippaD,,52,1
57,57,Clarion,5,1,30300,0,NULL,NULL,NULL,53,1
58,58,Clatronic,103,1,32684,1,2010-10-14 12:48:10.020,ViolettaG,,54,1
59,59,Cloer,71,1,25800,0,2010-09-06 11:40:33.337,ViolettaG,,55,1
60,60,Condel,1,1,23500,1,NULL,NULL,NULL,56,1
61,61,Constructa,3,1,25900,0,NULL,NULL,NULL,57,1
62,62,Daewoo,39,1,15600,0,2013-02-19 12:16:30.763,ViolettaG,,58,1
63,63,Dancall,1,1,30020,1,NULL,NULL,NULL,59,1
64,64,DeLonghi,615,1,32687,0,2012-03-09 10:12:33.513,ViolettaG,,60,1
65,65,Denon,103,1,10800,0,NULL,NULL,NULL,61,1
66,66,DeTeMobil,1,1,30084,0,NULL,NULL,NULL,62,1
67,67,DeTeWe,1,1,30022,0,NULL,NULL,NULL,63,1
69,69,DFG,1,1,30070,1,NULL,NULL,NULL,64,1
70,70,DFR,1,1,30089,1,NULL,NULL,NULL,65,1
71,71,Dimplex,5,1,24800,0,NULL,NULL,NULL,66,1
72,72,Dirt Devil,7,1,21300,0,NULL,NULL,NULL,67,1
73,73,Laurastar,7,1,22200,0,2013-07-04 14:12:46.600,ViolettaG,,68,1
74,74,Domena,33,1,32719,0,NULL,NULL,NULL,69,1
75,75,DrKern,1,1,32401,0,NULL,NULL,NULL,70,1
76,76,Dual,71,1,13200,0,2018-04-25 12:16:40.410,PatrickM,,71,1
77,77,Duracraft,7,1,32677,0,NULL,NULL,NULL,72,1
78,78,Dyson,359,1,32698,0,2018-03-26 10:09:43.090,PatrickM,,73,1
79,79,Ege,1,1,32722,0,NULL,NULL,NULL,74,1
80,80,EIO,5,1,25300,0,NULL,NULL,NULL,75,1
81,81,Elac,7,1,32692,0,2016-03-09 15:06:03.733,ViolettaG,,76,1
82,82,Electrolux,359,1,30080,0,2010-11-23 14:26:00.700,ViolettaG,,77,1
83,83,Electronia,1,1,25400,1,NULL,NULL,NULL,78,1
84,84,elektrabregenz,2,1,30078,0,2014-11-06 11:34:16.483,ViolettaG,,79,1
85,85,Elmeg,3,1,30023,0,NULL,NULL,NULL,80,1
86,86,Eltax,5,1,17800,0,NULL,NULL,NULL,81,1
88,88,Emide,1,1,23800,0,NULL,NULL,NULL,82,1
89,89,Emmerich,1,1,30024,0,NULL,NULL,NULL,83,1
90,90,Emphaser,1,1,30900,0,NULL,NULL,NULL,84,1
91,91,EOS,5,1,24400,0,NULL,NULL,NULL,85,1
92,92,Ergoline,5,1,26301,0,NULL,NULL,NULL,86,1
93,93,Ericsson,39,1,30025,0,NULL,NULL,NULL,87,1
94,94,Esge,67,1,24200,0,2010-10-14 12:50:22.490,ViolettaG,,88,1
95,95,Eudora,1,1,30079,0,NULL,NULL,NULL,89,1
96,96,Eumenia,1,1,26600,0,NULL,NULL,NULL,90,1
98,98,EWT,69,1,23300,0,2010-09-13 13:55:41.313,ViolettaG,,91,1
99,99,Fakir,7,1,21500,0,2016-02-16 09:18:40.427,ViolettaG,,92,1
102,102,Fischer,0,1,32726,1,NULL,NULL,NULL,93,1
103,103,Fisher-Price,7,1,32721,0,NULL,NULL,NULL,94,1
104,104,FMN,3,1,30072,0,NULL,NULL,NULL,95,1
105,105,Foron,1,1,22400,0,NULL,NULL,NULL,96,1
106,106,Fuba,1,1,30101,0,2014-07-16 11:31:31.113,Ursulaz,,97,1
107,107,Fujitsu Ten,5,1,31200,0,NULL,NULL,NULL,98,1
108,108,Gelhard,1,1,30800,1,NULL,NULL,NULL,99,1
109,109,Gesko,3,1,30028,1,NULL,NULL,NULL,100,1
110,110,GKS,0,1,32695,1,NULL,NULL,NULL,101,1
111,111,LG,359,1,12300,0,NULL,NULL,NULL,102,1
112,112,Gorenje,7,1,26500,0,NULL,NULL,NULL,103,1
113,113,Graef,3,1,22600,0,NULL,NULL,NULL,104,1
114,114,Grossmann,0,1,32200,1,NULL,NULL,NULL,105,1
115,115,Grundig,103,1,10100,0,2011-08-15 08:49:53.547,ViolettaG,,106,1
116,116,GTB,1,1,30031,1,NULL,NULL,NULL,107,1
117,117,Hagenuk,1,1,30032,0,NULL,NULL,NULL,108,1
118,118,Hama,103,1,15500,0,2010-08-23 15:09:07.307,ViolettaG,,109,1
119,119,Harman/Kardon,71,1,14600,0,2010-11-23 14:28:19.270,ViolettaG,,110,1
120,120,Heco,71,1,17300,0,NULL,NULL,NULL,111,1
121,121,Heibi,1,1,32714,1,2011-05-26 14:23:32.173,PhilippaD,,112,1
