ProductCategoryID,ProductCategoryCode,ParentProductCategoryCode,ProductCategoryName
20000,10000000,NULL,Consumer Electronics
20001,10100000,10000000,TVs
20010,10102000,10100000,TVs 4:3 Screen
20003,10102002,10102000,4:3 < 27 cm Screen
20004,10102003,10102000,4:3 27/28 cm  Screen
20005,10102004,10102000,4:3 36/37 cm  Screen
20006,10102005,10102000,4:3 40 cm  Screen
20007,10102006,10102000,4:3 42 cm  Screen
20008,10102007,10102000,4:3 45 cm  Screen
20009,10102008,10102000,4:3 50 cm  Screen
20011,10102010,10102000,4:3 51 cm  Screen
20012,10102020,10102000,4:3 55 cm  Screen
20013,10102030,10102000,4:3 63 cm  Screen
20014,10102050,10102000,4:3 70-74 cm  Screen
20015,10102060,10102000,4:3 from 80 cm  Screen
20018,10104000,10100000,TVs 16:9 Screen
20017,10104020,10104000,16:9 40 cm Screen
20019,10104030,10104000,16:9 49-51 cm Screen
20020,10104040,10104000,16:9 60 cm Screen
20021,10104050,10104000,16:9 70 cm Screen
20022,10104060,10104000,16:9 ab 82 cm Screen
20023,10104500,10100000,LCD-TVs
21253,10104505,10104500,"up to 17"" (43cm)"
21204,10104508,10104500,"17-19"" (43-48cm)"
21205,10104512,10104500,"20-21"" (51-53cm)"
21255,10104515,10104500,"22-25"" (56-64cm)"
21256,10104520,10104500,"26-29"" (66-74cm)"
21257,10104525,10104500,"30-36"" (76-91cm)"
21258,10104530,10104500,"37-39"" (94-99cm)"
21351,10104555,10104500,"40-45"" (100-114cm)"
21352,10104560,10104500,"46-51"" (117-129cm)"
21353,10104565,10104500,"52-59"" (132-150cm)"
21354,10104570,10104500,"60-69"" (152-175cm)"
21844,10104575,10104500,"ab 70"" (178cm)"
21267,10105000,10100000,Plasma TVs
21268,10105010,10105000,"30-36"" (76-91cm)"
21269,10105020,10105000,"37-39"" (94-99cm)"
21355,10105040,10105000,"40-45"" (100-114cm)"
21356,10105050,10105000,"46-51"" (117-129cm)"
21357,10105060,10105000,"52-59"" (132-150cm)"
21358,10105070,10105000,"from 60"" (152cm)"
21380,10105500,10100000,OLED-TVs
21363,10105505,10105500,"bis 59"" (150cm)"
21845,10105510,10105500,"60-69"" (152-175cm)"
21846,10105515,10105500,"ab 70"" (178cm)"
20028,10106000,10100000,Projectors
20029,10106010,10106000,LCD Projectors
21153,10106015,10106000,DLP Projectors
21152,10106030,10106000,Tube Projectors
20030,10106035,10106000,Rear Projection
20031,10107000,10100000,TV combinations
20027,10107005,10107000,LCD-TV  combinations
20032,10107010,10107000,TV combinations up to 50 cm Screen
20033,10107020,10107000,TV combinations from 50 cm Screen
20036,10200000,10000000,Blu-ray / DVD / Video
20037,10200500,10200000,Videoplayers
20038,10200510,10200500,Videoplayers- VHS
20039,10200520,10200500,Videoplayers - 8mm
20040,10200530,10200500,Videoplayers - Hi 8
21202,10200540,10200500,Videoplayers - Digital 8
20041,10200800,10200000,DVD / Digital Video
20042,10200805,10200800,PictureDisc-Players
20043,10200810,10200800,CDI players
20044,10200820,10200800,VCD players
20045,10200830,10200800,DVD players
21169,10200835,10200800,DVD changers
21225,10200840,10200800,DVD recorders
21317,10200845,10200800,DVD recorders + HDD
21226,10200850,10200800,DVD combinations
21437,10200852,10200800,HD-DVD-Player
21318,10200855,10200800,Blu-ray-Player
21488,10200857,10200800,Blu-ray-Player + Festplatte
21319,10200860,10200800,Blu-ray recorders
21438,10200865,10200800,Blu-ray-Rekorder + Festplatte
21799,10200868,10200800,Ultra HD Blu-ray Player
21835,10200869,10200800,Ultra HD Blu-ray Player + Festplatte
21320,10200870,10200800,Media Centers
20047,10200880,10200800,Digital VCRs
20046,10201000,10200000,VCR
20048,10201010,10201000,VHS Mono
20049,10201020,10201000,VHS HiFi
20050,10201030,10201000,S-VHS HiFi
20051,10201040,10201000,8 mm
20052,10201050,10201000,Hi 8
20053,10201060,10201000,Video8/Hi8-VHS-combinations
21172,10201070,10201000,DV/S-VHS combinations
20054,10201090,10201000,Beta
20066,10204000,10200000,Video Editing
20067,10204010,10204000,Schnittsteuergeräte/Computer
20068,10204015,10204000,Video Mixers
20069,10204017,10204000,Video/Audio Umschalter
20070,10204020,10204000,Video Printer
20071,10204025,10204000,Titel/Zeichen-Generatoren
21439,10250000,10000000,Foto / Camcorder
20063,10251000,10250000,Digital Photo
20064,10251010,10251000,Digital cameras
21441,10251015,10251000,Digitale Systemkameras
21442,10251020,10251000,Digitale Spiegelreflexkameras
21291,10251030,10251000,Digital Frames
20065,10251040,10251000,Film zu Video Kopierer
21591,10251050,10251000,Sofortbildkameras
20055,10252000,10250000,Camcorder
21287,10252010,10252000,DVD camcorders
21288,10252020,10252000,HDD Camcorders
21592,10252030,10252000,Action-Camcorder
21290,10252040,10252000,Mini-DV Camcorder
20057,10252050,10252000,VHS normal
20058,10252055,10252000,S-VHS
20059,10252060,10252000,VHS-C
20060,10252065,10252000,S-VHS-C
20061,10252070,10252000,8 mm
20062,10252080,10252000,Hi 8
21014,10252085,10252000,Digital 8
20072,10300000,10000000,Sound
20073,10301000,10300000,Units
20074,10301010,10301000,Amplifiers
