BRAND, MODEL, MEGAPIXELS, SENSOR, URL
Canon,PowerShot SX70 HS,20.30,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/canon_powershot-sx70-hs/
Canon,EOS R,30.30,36 x 24 mm,https://www.digicamdb.com/specs/canon_eos-r/
Canon,PowerShot SX740 HS,20.30,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/canon_powershot-sx740-hs/
Canon,EOS M50,24.10,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-m50/
Canon,EOS Rebel T7,24.10,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-rebel-t7/
Canon,EOS 4000D,18.00,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-4000d/
Canon,PowerShot G1 X Mark III,24.20,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_powershot-g1-x-mark-iii/
Canon,EOS M100,24.20,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-m100/
Canon,EOS 6D Mark II,26.20,35.9 x 24 mm,https://www.digicamdb.com/specs/canon_eos-6d-mark-ii/
Canon,EOS Rebel SL2,24.20,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-rebel-sl2/
Canon,PowerShot SX730 HS,20.30,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/canon_powershot-sx730-hs/
Canon,EOS Rebel T7i,24.20,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-rebel-t7i/
Canon,EOS 77D,24.20,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-77d/
Canon,EOS M6,24.20,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-m6/
Canon,PowerShot G9 X Mark II,20.20,13.2 x 8.8 mm,https://www.digicamdb.com/specs/canon_powershot-g9-x-mark-ii/
Canon,EOS M5,24.20,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-m5/
Canon,EOS 5D Mark IV,30.10,36 x 24 mm,https://www.digicamdb.com/specs/canon_eos-5d-mark-iv/
Canon,PowerShot SX620 HS,20.20,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/canon_powershot-sx620-hs/
Canon,EOS 1300D,18.00,22.3 x 14.9 mm,https://www.digicamdb.com/specs/canon_eos-1300d/
Canon,PowerShot G7 X Mark II,20.10,13.2 x 8.8 mm,https://www.digicamdb.com/specs/canon_powershot-g7-x-mark-ii/
Canon,PowerShot SX720 HS,20.30,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/canon_powershot-sx720-hs/
Canon,EOS 80D,24.20,22.5 x 15 mm,https://www.digicamdb.com/specs/canon_eos-80d/
Canon,EOS-1D X Mark II,20.20,36 x 24 mm,https://www.digicamdb.com/specs/canon_eos-1d-x-mark-ii/
Canon,PowerShot ELPH 360 HS,20.20,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/canon_powershot-elph-360-hs/
Canon,PowerShot ELPH 190 IS,20.00,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/canon_powershot-elph-190-is/
Fujifilm,X-T3,26.10,23.5 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-t3/
Fujifilm,XF10,24.20,23.5 x 15.7 mm,https://www.digicamdb.com/specs/fujifilm_xf10/
Fujifilm,X-T100,24.20,23.5 x 15.7 mm,https://www.digicamdb.com/specs/fujifilm_x-t100/
Fujifilm,X-H1,24.30,23.5 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-h1/
Fujifilm,X-A5,24.20,23.5 x 15.7 mm,https://www.digicamdb.com/specs/fujifilm_x-a5/
Fujifilm,FinePix XP130,16.40,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/fujifilm_finepix-xp130/
Fujifilm,X-E3,24.30,23.5 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-e3/
Fujifilm,X-T20,24.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-t20/
Fujifilm,X100F,24.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x100f/
Fujifilm,FinePix XP120,16.40,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/fujifilm_finepix-xp120/
Fujifilm,X-A10,16.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-a10/
Fujifilm,X-A3,24.20,23.5 x 15.7 mm,https://www.digicamdb.com/specs/fujifilm_x-a3/
Fujifilm,X-T2,24.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-t2/
Fujifilm,X70,16.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-70/
Fujifilm,X-Pro2,24.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-pro2/
Fujifilm,X-E2S,16.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-e2s/
Fujifilm,XP90,16.40,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/fujifilm_xp90/
Fujifilm,X-T10,16.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-t10/
Fujifilm,XQ2,12.00,2/3" (~ 8.8 x 6.6 mm),https://www.digicamdb.com/specs/fujifilm_xq2/
Fujifilm,X-A2,16.30,23.6 x 15.6 mm,https://www.digicamdb.com/specs/fujifilm_x-a2/
Fujifilm,FinePix S9900W,16.20,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/fujifilm_finepix-s9900w/
Fujifilm,FinePix S9800,16.20,1/2.3" (~ 6.16 x 4.62 mm),https://www.digicamdb.com/specs/fujifilm_finepix-s9800/
