Brand,Model,Price,Currency,Color,MatchingCode
sony,xperia z,90.0,EUR,black,826103
sony,xperia z,90.0,EUR,black,826103
sony,xperia z,90.0,EUR,black,826103
samsung,galaxy xcover 2 x,120.64,EUR,cover,851445
samsung,galaxy,178.0,EUR,schwarz,961105
samsung,galaxy,178.0,EUR,schwarz,961105
hama apple,iphone 66s,14.99,EUR,transparent,986642
samsung,galaxy,189.85,EUR,weiß,1011698
beko kg,1600,329.0,EUR,a,1027443
beko kg,1600,329.0,EUR,a,1027443
beko kg,1600,329.0,EUR,a,1027443
beko kg,1600,329.0,EUR,a,1027443
beko kg,1600,329.0,EUR,a,1027443
samsung,galaxy s5,209.99,EUR,neuware,1034764
samsung,galaxy s5,209.99,EUR,neuware,1034768
samsung,galaxy,66.98,EUR,rot,1059524
samsung,galaxy,69.99,EUR,rot,1059524
samsung,galaxy,74.74,EUR,rot,1059524
samsung,galaxy,84.8,EUR,rot,1059524
samsung,galaxy,98.94,EUR,rot,1059524
samsung,galaxy,66.98,EUR,rot,1059524
samsung,galaxy,69.99,EUR,rot,1059524
samsung,galaxy,73.69,EUR,rot,1059524
samsung,galaxy,87.27,EUR,rot,1059524
samsung,galaxy s5,221.0,EUR,weiß,1095017
samsung,galaxy s5,221.0,EUR,weiß,1095017
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
phone,easy,169.95,EUR,schwarz,1112832
sony,xperia,279.25,EUR,schwarz,1123358
sony,xperia,139.99,EUR,schwarz,1123358
sony,xperia,279.25,EUR,schwarz,1123358
sony,xperia,139.99,EUR,schwarz,1123358
sony,xperia,119.99,EUR,weiß,1123360
sony,xperia,119.99,EUR,weiß,1123360
sony,xperia,119.99,EUR,weiß,1123360
wiko,lenny 5,87.66,EUR,negro,1127649
wiko,lenny 5,87.66,EUR,negro,1127649
wiko,lenny 5,87.66,EUR,negro,1127649
wiko,lenny 5,87.66,EUR,negro,1127649
wiko,lenny 5,87.66,EUR,negro,1127649
wiko,lenny 5,87.66,EUR,negro,1127649
