Brand,Model,Price,MatchingCode
SonyEricsson,XperiaX1,299.9,300013
SonyEricsson,XperiaX1,299.9,300013
NokiaXpressMusic,5800Red/Rot,79.99,308903
Nokia,,49.99,309454
LG,,199.9,317691
,,89.0,317694
Nokia,,189.99,317694
LG,,59.0,330207
Samsung,OmniaIII8000,43.44,333267
,,583.99,359506
Sony,,583.99,359506
Sony,,583.99,359506
Sony,,583.99,359506
Sony,,583.99,359506
,,583.99,359506
Sony,,583.99,359506
Sony,,583.99,359506
Sony,,583.99,359506
Nokia,,123.93,361542
LG,,129.0,363184
KING,,29.99,363351
KING,,29.99,363351
KING,,29.99,363351
KING,,29.99,363351
KING,,29.99,363351
KING,,29.99,363351
KING,,29.99,363351
KING,,29.99,363351
KING,,29.99,363351
KING,,29.99,363351
BlackBerry,,49.9,373026
BlackBerry,,49.9,373026
BlackBerry,,49.9,373026
LG,,134.9,378774
,,44.8,384854
Nokia,N8,298.84,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
Canon,PIXMAiX6850A3+,183.99,385649
HTC,,63.08,389595
HTC,,63.08,389595
HTC,,63.08,389595
HTC,,99.9,389595
HTC,,63.08,389595
Nokia,,149.9,389848
Samsung,Omnia735,39.99,395306
Samsung,Omnia735,39.99,395306
Samsung,Omnia735,39.99,395306
Samsung,Omnia735,39.99,395306
Samsung,Omnia735,39.99,395306
SonyEricsson,XperiaX8,69.99,403664
HTC,,39.95,403908
Samsung,,49.9,411553
Samsung,,49.9,411553
Samsung,,69.99,411553
Samsung,,19.8,411555
,,94.99,412780
,,94.99,412780
,,94.99,412780
,,94.99,412780
,,94.99,412780
,,94.99,412780
,,94.99,412780
,,94.99,412780
LG,,89.9,413673
LG,P500OPTIMUSOne,29.95,413675
Nokia,,69.8,413690
LG,C300TownII(2MP,34.8,415752
LG,C300TownII(2MP,34.8,415752
HTC,7,129.9,422027
HTC,7,129.9,422027
Nokia,,29.99,431350
Samsung,WaveII,49.99,438120
Samsung,GalaxyAce,109.0,445157
LG,,99.99,445361
SonyEricsson,Xperianeo,67.27,456837
HTC,DesireS,199.89,457755
HTC,,99.9,457758
Samsung,GalaxySII,1037.5,461814
Samsung,GalaxySII,169.0,461814
Samsung,GalaxySII,1037.5,461814
Samsung,GalaxySII,169.0,461814
Nokia,,45.0,466787
HTC,Sensation-,35.0,472845
HTC,Sensation-,35.0,472845
Sony,,24.8,489670
"BlackBerryDisplay,","5MegapixelKamera,QWERTY,GPS,USB2.0)Zincgrau",129.99,491189
"BlackBerryDisplay,","5MegapixelKamera,QWERTY,GPS,USB2.0)Zincgrau",129.99,491189
"BlackBerryDisplay,","5MegapixelKamera,QWERTY,GPS,USB2.0)Zincgrau",129.99,491189
"BlackBerryDisplay,","5MegapixelKamera,QWERTY,GPS,USB2.0)Zincgrau",129.99,491189
Blackberry,Bold99008GB-,139.9,495139
Blackberry,Bold99008GB-,139.9,495139
Blackberry,Bold99008GB-,139.9,495139
Blackberry,Bold99008GB-,139.9,495139
Blackberry,Bold99008GB-,139.9,495139
BlackBerry,,139.9,495139
BlackBerry,"480x360,c?mara5Mp,0.5GB,procesadorde600MHz,512MBdeRAM,S.O.",49.99,509742
BlackBerry,"480x360,c?mara5Mp,0.5GB,procesadorde600MHz,512MBdeRAM,S.O.",49.99,509742
BlackBerry,"480x360,c?mara5Mp,0.5GB,procesadorde600MHz,512MBdeRAM,S.O.",49.99,509742
,,204.99,510312
,,204.99,510312
,,204.99,510312
,,204.99,510312
,,204.99,510312
,,204.99,510312
,,204.99,510312
,,204.99,510312
HTC,Radar,129.9,510764
P,,87.0,529969
P,,87.0,529969
P,,87.0,529969
P,,87.0,529969
P,,87.0,529969
P,,87.0,529969
P,,87.0,529969
P,,87.0,529969
P,,87.0,529969
